פתרון,הגדרה,אורך,מחבר,מספר
ועד,לעולם הבית (3),3,אודי הרשקוביץ,1
יריות,סוג של שמחה באויר מעשר בירות (5),5,אודי הרשקוביץ,1
פיברקו,המציאו אות מקרן (מ) (6),6,אודי הרשקוביץ,1
פנסילבניה,"זה מפואר מדי להקמת בית בארה""ב (9)",9,אודי הרשקוביץ,1
לשכתתעסוקה,"עת תסכול קשה כשאין עבודה (4, 6)",10,אודי הרשקוביץ,1
יענ,בגלל העוף (3),3,אודי הרשקוביץ,1
הכלדיבורימ,"אין יותר מדי אנשים חכמים ברדיו (3, 7)",10,אודי הרשקוביץ,1
תורהשבעלפה,"השישי סיים, מי הבא לכאן? זה לא כתוב בשום מקום (4, 4, 2)",10,אודי הרשקוביץ,1
מילאפיומימ,"סתם יומים אפלים (מ) (4, 3, 3)",10,אודי הרשקוביץ,1
חלפעמהרוח,"סרט לא מקורי אבל כזה שמכניס כסף (3, 2, 4)",9,אודי הרשקוביץ,1
גונבימ,"לוקחים צבע בסוף, למשל (6)",6,אודי הרשקוביץ,1
נסורת,יעצרו אותך בחזרה מהנגריה (5),5,אודי הרשקוביץ,1
לחי,בפנים יש משהו לעם ישראל (3),3,אודי הרשקוביץ,1
רגל,פעם אסף מידע (3),3,אודי הרשקוביץ,1
פריסקופ,בשביל לראות בירה חיה (7),7,אודי הרשקוביץ,1
קיקלופ,"שמן עם פה אבל בלי עין (ע""פ דוד זהבי) (6)",6,אודי הרשקוביץ,1
בניהודה,"אליעזר בגין לקח את האשמה (2, 5)",7,אודי הרשקוביץ,1
תנוכ,הביאו חלק מהיד לאוזן? (4),4,אודי הרשקוביץ,1
תריסר,באיזה מספר חיפש את ערפאת? (5),5,אודי הרשקוביץ,1
תמהיל,באיזה מינון להמית? (5),5,אודי הרשקוביץ,1
הלךעלבטוח,"צעד, פגע מרחק, בלי לקחת סיכונים (3, 2, 4)",9,אודי הרשקוביץ,1
